Config_ID,Vectorizador,Stopwords,Stemming,Algoritmo,Accuracy,Precision,Recall,F1-Score
1,CountVectorizer,False,False,Regresión Logística,0.9325846944948578,0.9306485096673978,0.939064599611805,0.9347094361401934
1,CountVectorizer,False,False,Árbol de Decisión,0.9037708119624399,0.9069255193091941,0.9063106554521475,0.9064053541254111
1,CountVectorizer,False,False,K-Vecinos,0.7205528814540099,0.7245589437453589,0.7382832329667048,0.7310748472738273
1,CountVectorizer,False,False,SVM Lineal,0.9314964228412108,0.9313082889617069,0.935891852884089,0.9334835157801182
2,CountVectorizer,True,False,Regresión Logística,0.9285972145506195,0.9295219854838933,0.9320186134474693,0.9306776439414927
2,CountVectorizer,True,False,Árbol de Decisión,0.9079371498461295,0.9115943216292625,0.9094821579654605,0.9104461098312946
2,CountVectorizer,True,False,K-Vecinos,0.6790496199268787,0.7782660846697742,0.5258771711541332,0.6255916184080352
2,CountVectorizer,True,False,SVM Lineal,0.9247912228096478,0.9269468870889774,0.9270815706962624,0.9268653223439388
3,CountVectorizer,False,True,Regresión Logística,0.9338534680028406,0.9338058066464996,0.9380082615836361,0.935796868805056
3,CountVectorizer,False,True,Árbol de Decisión,0.9001476235566427,0.9015637091815126,0.9048984721047131,0.9029764949848829
3,CountVectorizer,False,True,K-Vecinos,0.7310657171414293,0.7392902976105834,0.7386428109291794,0.7385131500962945
3,CountVectorizer,False,True,SVM Lineal,0.9276910886661932,0.929681760339893,0.9299034489623252,0.9296852298507952
4,CountVectorizer,True,True,Regresión Logística,0.9273287698256134,0.931039546193406,0.9277907729059871,0.9292599687372396
4,CountVectorizer,True,True,Árbol de Decisión,0.8981486230568926,0.8883052196836795,0.9175608420843078,0.9025444879366857
4,CountVectorizer,True,True,K-Vecinos,0.6881177832136564,0.7953140521552925,0.530467078086896,0.6351533405044858
4,CountVectorizer,True,True,SVM Lineal,0.9256963623451432,0.9321898670442506,0.9228537301547801,0.9273883896934463
5,TF-IDF,False,False,Regresión Logística,0.8769523133170256,0.8680136222235039,0.8975090827651421,0.8823777516646409
5,TF-IDF,False,False,Árbol de Decisión,0.9012332649464743,0.9010524563190465,0.9080662419748171,0.9044006588370526
5,TF-IDF,False,False,K-Vecinos,0.7633186696125621,0.7031586855255879,0.9351876275319763,0.8026068542494041
5,TF-IDF,False,False,SVM Lineal,0.9300497777427076,0.9196176775493539,0.9468197879858657,0.9329473811417696
6,TF-IDF,True,False,Regresión Logística,0.9075761461374576,0.9027995047403626,0.9196946697854974,0.9110404031886018
6,TF-IDF,True,False,Árbol de Decisión,0.8988798363975906,0.9000831805697107,0.9041930025381972,0.9019197861252566
6,TF-IDF,True,False,K-Vecinos,0.8093578210894552,0.7997796536729542,0.8404382123127456,0.8193449801943796
6,TF-IDF,True,False,SVM Lineal,0.9304097951024488,0.9259074875122945,0.9401172049967652,0.9328518462022746
7,TF-IDF,False,True,Regresión Logística,0.8640860490807227,0.857806148022123,0.8823657492659136,0.8697548975190351
7,TF-IDF,False,True,Árbol de Decisión,0.894887753491675,0.8904253185711898,0.9073607724083013,0.8987306666955244
7,TF-IDF,False,True,K-Vecinos,0.7745535127173256,0.7179483065880068,0.926729458020206,0.8088905349541162
7,TF-IDF,False,True,SVM Lineal,0.9128330571556326,0.9029687615361418,0.9306176280296622,0.9165193025091153
8,TF-IDF,True,True,Regresión Logística,0.8876403903311502,0.8813959548393069,0.9034875329716817,0.8920972661433997
8,TF-IDF,True,True,Árbol de Decisión,0.8972428259554432,0.8962866915710815,0.9052431194943512,0.9005252832257697
8,TF-IDF,True,True,K-Vecinos,0.8102507956548042,0.8038606905553065,0.8354924600607176,0.8190691290117998
8,TF-IDF,True,True,SVM Lineal,0.9166403640285121,0.9109965175432398,0.9288545762205743,0.9197567907164806
