term,mean_score,document_count
cotx,1.076971344347154,1
ara,1.076971344347154,1
mateix,1.076971344347154,1
access,1.076971344347154,1
laeroport,1.076971344347154,1
refug,0.9903279467771607,2
antiaere,0.9903279467771607,2
socialconfus,0.9069232373449717,1
alzir,0.880291508246365,2
argand,0.880291508246365,2
ls,0.8339603762333985,2
adid,0.7922623574217287,2
apunyal,0.7832518867979302,1
pakistan,0.7832518867979302,1
nivell,0.7832518867979302,1
espanist,0.7832518867979302,1
esbast,0.7832518867979302,1
impass,0.720238506747026,2
inamist,0.720238506747026,2
movomient,0.720238506747026,2
xuli,0.717980896231436,1
calam,0.717980896231436,1
borriquit,0.6797430527864631,3
ultras,0.6777634119053757,4
lacab,0.6627515965213255,1
fra,0.6609806988486712,4
huescanastic,0.6602186311847738,2
osun,0.6602186311847738,2
idiosincraci,0.6602186311847738,2
anoscas,0.6602186311847738,2
musulmanell,0.6602186311847738,2
jajajajajajaajjajaajajajajaaj,0.6602186311847738,2
juegodetron,0.6154121967698023,1
felician,0.609432582632099,2
ohl,0.609432582632099,2
klein,0.609432582632099,2
grafiter,0.5743847169851488,1
apedre,0.5743847169851488,1
zocodov,0.5743847169851488,1
mogu,0.5659016838726633,2
guillett,0.5659016838726633,2
agroazuay,0.5659016838726633,2
tipi,0.5659016838726633,2
uses,0.5401788800602695,2
lennon,0.538485672173577,1
mata,0.538485672173577,1
fpdgi,0.538485672173577,1
gabilond,0.528174904947819,2
megafactori,0.528174904947819,2
whitney,0.528174904947819,2
burnout,0.528174904947819,2
forcadellmaldit,0.528174904947819,2
hemerotecacom,0.528174904947819,2
gotafri,0.528174904947819,2
redov,0.528174904947819,2
azote,0.528174904947819,2
howard,0.528174904947819,2
obiw,0.528174904947819,2
kenobi,0.528174904947819,2
terrass,0.5221679245319535,1
minhaciend,0.5068100443986607,1
fuengirol,0.5068100443986607,1
bombardej,0.5068100443986607,1
kurd,0.5068100443986607,1
sirikan,0.5068100443986607,1
fosfor,0.5068100443986607,1
prohibid,0.5068100443986607,1
tots,0.5068100443986607,1
tractats,0.5068100443986607,1
internacionals,0.5068100443986607,1
xiaomi,0.5002539468825392,4
sobrerreacion,0.49516397338858037,2
sonet,0.49516397338858037,2
riders,0.49516397338858037,2
antiindependent,0.49516397338858037,2
starr,0.49516397338858037,2
beatl,0.49516397338858037,2
ios,0.49232975741584184,1
alcazar,0.48411672278955403,4
sepulcr,0.48196509291048933,4
radcliff,0.4786539308209573,1
maremot,0.4786539308209573,1
liand,0.4786539308209573,1
lufthans,0.4786539308209573,1
accidenet,0.4786539308209573,1
astuci,0.4786539308209573,1
piolin,0.4786539308209573,1
plumeroo,0.4786539308209573,1
welcom,0.4679794986965689,4
ciccon,0.46603668083631095,2
carapaz,0.46603668083631095,2
nibali,0.46603668083631095,2
roglic,0.46603668083631095,2
mortirol,0.46603668083631095,2
aunq,0.46603668083631095,2
quimicoscolorantessaboriz,0.46603668083631095,2
retrovisor,0.46603668083631095,2
telecom,0.46571733809606664,1
exdirector,0.4606169268207305,3
kurz,0.4579094841102168,2
